date,atm_id,atm_city,total_balance,income_txn_count,outcome_txn_count,total_income,total_outcome,total_txn_count,withdrawals_usd,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_pct_change_1d,btc_7d_roc,btc_7d_ma,btc_volatility_7d,day_of_week,is_weekend,payday_flag,y_tomorrow
2020-01-01,atm350000,Izmir,26835,525,593,33270,39650,1118,39650,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,39135.0
2020-01-02,atm350000,Izmir,15085,549,615,34755,39135,1164,39135,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,46075.0
2020-01-03,atm350000,Izmir,33910,501,661,33260,46075,1162,46075,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,38510.0
2020-01-04,atm350000,Izmir,24725,603,591,38175,38510,1194,38510,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,44990.0
2020-01-05,atm350000,Izmir,2660,486,703,30635,44990,1189,44990,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,41670.0
2020-01-06,atm350000,Izmir,39505,569,664,36885,41670,1233,41670,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,40060.0
2020-01-07,atm350000,Izmir,38050,698,642,42425,40060,1340,40060,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm350001,Izmir,27090,587,639,38950,42550,1226,42550,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,38445.0
2020-01-02,atm350001,Izmir,13425,473,613,28745,38445,1086,38445,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,37600.0
2020-01-03,atm350001,Izmir,3550,437,607,28955,37600,1044,37600,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,34155.0
2020-01-04,atm350001,Izmir,42240,542,541,34685,34155,1083,34155,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,41375.0
2020-01-05,atm350001,Izmir,20135,521,638,32670,41375,1159,41375,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,43305.0
2020-01-06,atm350001,Izmir,31780,514,662,31575,43305,1176,43305,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,40070.0
2020-01-07,atm350001,Izmir,15895,452,658,28195,40070,1110,40070,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
2020-01-01,atm3500010,Izmir,32330,881,970,52165,58700,1851,58700,7145.05,7237.35,7129.55,7225.58,1211.09527025,0.012017176999851609,0.008870365328362606,7270.584285714285,0.020341564637941383,Wednesday,False,True,72230.0
2020-01-02,atm3500010,Izmir,15325,1000,1111,66700,72230,2111,72230,7220.0,7224.75,6900.0,6953.17,2993.0241097,-0.03770077972979324,-0.05449860279169694,7213.330000000001,0.021516015367927903,Thursday,False,False,68735.0
2020-01-03,atm3500010,Izmir,30895,938,1076,57375,68735,2014,68735,6956.64,7402.31,6853.53,7339.97,8452.87552534,0.05562930289350043,0.017669250595838237,7231.535714285715,0.03126689788469128,Friday,False,False,67255.0
2020-01-04,atm3500010,Izmir,10850,997,1071,61365,67255,2068,67255,7339.97,7396.1,7247.73,7291.27,3605.74269447,-0.006634904502334504,-0.003472886609773851,7227.905714285715,0.030986226739449674,Saturday,True,False,68740.0
2020-01-05,atm3500010,Izmir,34165,953,1093,62285,68740,2046,68740,7294.0,7495.0,7269.71,7430.83,2614.94778349,0.019140698396849842,0.0011897062786310197,7229.167142857143,0.031405089097976686,Sunday,True,False,67460.0
2020-01-06,atm3500010,Izmir,15515,892,1072,54940,67460,1964,67460,7431.63,7614.95,7310.0,7525.46,4138.11820107,0.012734781982631782,0.041792354749798255,7272.294285714286,0.029143587117638526,Monday,False,False,69425.0
2020-01-07,atm3500010,Izmir,4820,952,1087,59895,69425,2039,69425,7531.73,8134.95,7516.97,8050.0,13507.54693697,0.06970205143605845,0.1274857208485416,7402.325714285714,0.036201204585928716,Tuesday,False,False,
